Open femmes C-1 500m,col_1,col_2,col_3
16:00 Course n° 35 Open femmes C-1 500m finale 3,,,
Couloir,Club Équipage,Résultats,Temps
5,Otterburn 2009 Maelie Levesque,1,"3:03,43"
4,Cascades 2010 Katsya Ranson,2,"3:19,01"
6,Otterburn 2009 Coralie Timmons,3,"3:37,06"
1,,,
2,,,
3,,,
7,,,
8,,,
9,,,
16:05 Course n° 36 Open femmes C-1 500m finale 2,,,
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2010 Emma-Rose Nadeau,1,"2:49,58"
3,Cascades 2006 Florence Gauthier,2,"2:49,95"
6,Pointe-Claire 2011 Olive Archambault,3,"2:52,55"
4,Otterburn 2009 Julianne Pronovost,4,"2:52,83"
1,Trois-Rivières 2007 Maeva Emond,5,"2:53,79"
7,Lac-Beauport 2011 Olivia Desrosiers-Mc Arthur,6,"2:57,14"
8,Pointe-Claire 2010 Florence Stewart-Mueller,7,"3:00,31"
2,Lac-Beauport 2008 Nora-Maelie Turcotte,8,"3:00,45"
9,Otterburn 2008 Eloise Gamache,9,"3:05,30"
16:10 Course n° 37 Open femmes C-1 500m finale 1,,,
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2004 Alexia Gagnon,1,"2:26,85"
4,Onake 2001 Konwanakeren Diabo,2,"2:28,89"
3,Lac-Beauport 2006 Charlotte C. Desy,3,"2:29,49"
8,Otterburn 2004 Leanne Castonguay,4,"2:31,29"
6,Lac-Beauport 2010 Maya Noel,5,"2:34,27"
7,Lac-Beauport 2007 Leia Stephenson,6,"2:34,88"
2,Lac-Beauport 2011 Maelle Girard,7,"2:41,35"
1,Lac-Beauport 2010 Abigail Harrington,8,"2:44,69"
9,Trois-Rivières 2007 Flavie Martin,9,"2:48,53"
Open femmes K-1 500m,,,
16:15 Course n° 38 Open femmes K-1 500m finale 5,,,
Couloir,Club Équipage,Résultats,Temps
4,Trois-Rivières 2010 Camille Pelletier,1,"2:38,57"
6,Otterburn 2010 Maelie Boulay,2,"2:39,23"
3,Sherbrooke 2008 Marguerite Gareau,3,"2:39,60"
7,Lac-Sergent 2010 Marilou Lessard,4,"2:48,21"
5,Pointe-Claire 2006 Kaiya Leah Schade,DSQ,"2:40,95"
1,,,
2,,,
8,,,
9,,,
