13:15 Course n° 21 Open femmes K-1 500m Semi finale 1,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
6,Lachine 2006 Florence Hamel,1,"2:16,020"
7,Trois-Rivières 2008 Anais Lapointe,2,"2:17,490"
5,Lac-Beauport 2010 Justine Tremblay,3,"2:19,350"
3,Cascades 2008 Mia Zahab,4,"2:24,840"
1,Lac-Beauport 2007 Anne-Sophie Boucher,5,"2:25,580"
4,Pointe-Claire 2008 Abigaelle Legrand,6,"2:26,570"
8,Lac-Beauport 2010 Maude Vittoz,7,"2:30,490"
2,Sherbrooke 2009 Noemie Perreault,8,"2:36,790"
9,Lac-Sergent 2008 Melodie Verret,9,"2:37,760"
