13:40 Course n° 26 Open hommes C-1 500m Semi finale 1,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
5,Pointe-Claire 2004 Emile Bouvier,1,"2:11,580"
3,Otterburn 2006 Ludovik Rioux,2,"2:23,640"
6,Otterburn 2008 Noa Piche,3,"2:23,990"
7,Lac-Beauport 2008 Christophe Desrochers,4,"2:24,760"
2,Otterburn 2008 Emile Raymond,5,"2:28,460"
1,Pointe-Claire 2011 Cedric Bourgeois,6,"2:41,410"
8,Lac-Beauport 2009 Louis-Etienne Messier,7,"2:42,870"
9,Shawinigan 2010 Zaic Gagnon,9,"3:01,000"
4,Pointe-Claire 2010 Theandre Legrand,DSQ,"2:46,150"
13:45 Course n° 27 Open hommes C-1 500m Semi finale 2,,,
Couloir,Club Équipage,Résultats,Temps
5,Pointe-Claire 2004 Elliot Arnautovitch,1,"2:18,830"
4,Lac-Beauport 2000 Edouard Beaumier,2,"2:25,240"
6,Otterburn 2005 Etienne Gamache,3,"2:25,270"
3,Otterburn 2007 Antoine Gamache,4,"2:25,470"
7,Lachine 2008 Adam Marcoux,5,"2:26,000"
2,Pointe-Claire 2008 Diego Padron Corbeil,6,"2:35,500"
8,Pointe-Claire 2010 Samuel Jacobs,7,"2:43,870"
1,Cascades 2010 Eli Thorp,8,"2:45,610"
9,Otterburn 2011 Sasha Roux,9,"2:54,180"
13:50 Course n° 28 Open hommes C-1 500m Repêchage 1,,,
Couloir,Club Équipage,Résultats,Temps
4,Pointe-Claire 2008 Justin Nadeau,1,"2:40,790"
5,Shawinigan 2010 Felix Vadnais,2,"2:43,680"
1,,,
2,,,
3,,,
6,,,
7,,,
8,,,
9,,,
Open hommes K-1 500m,,,
