Open hommes C-1 500m,col_1,col_2,col_3
16:40 Course n° 43 Open hommes C-1 500m finale 3,,,
Couloir,Club Équipage,Résultats,Temps
4,Pointe-Claire 2010 Theandre Legrand,1,"2:49,67"
5,Shawinigan 2010 Zaic Gagnon,2,"2:51,32"
1,,,
2,,,
3,,,
6,,,
7,,,
8,,,
9,,,
16:45 Course n° 44 Open hommes C-1 500m finale 2,,,
Couloir,Club Équipage,Résultats,Temps
5,Otterburn 2008 Emile Raymond,1,"2:35,85"
4,Pointe-Claire 2008 Diego Padron Corbeil,2,"2:42,05"
7,Lac-Beauport 2009 Louis-Etienne Messier,3,"2:45,78"
3,Pointe-Claire 2011 Cedric Bourgeois,4,"2:47,21"
1,Cascades 2010 Eli Thorp,5,"2:48,25"
8,Pointe-Claire 2010 Samuel Jacobs,6,"2:50,01"
2,Shawinigan 2010 Felix Vadnais,7,"2:54,04"
6,Pointe-Claire 2008 Justin Nadeau,8,"2:58,94"
9,Otterburn 2011 Sasha Roux,9,"2:59,29"
16:50 Course n° 45 Open hommes C-1 500m finale 1,,,
Couloir,Club Équipage,Résultats,Temps
5,Pointe-Claire 2004 Emile Bouvier,1,"2:07,00"
4,Pointe-Claire 2004 Elliot Arnautovitch,2,"2:09,67"
6,Lac-Beauport 2000 Edouard Beaumier,3,"2:14,57"
2,Otterburn 2005 Etienne Gamache,4,"2:16,58"
1,Otterburn 2007 Antoine Gamache,5,"2:21,70"
7,Otterburn 2008 Noa Piche,6,"2:21,77"
9,Lachine 2008 Adam Marcoux,7,"2:24,07"
3,Otterburn 2006 Ludovik Rioux,8,"2:29,59"
8,Lac-Beauport 2008 Christophe Desrochers,9,"2:31,09"
Open hommes K-1 500m,,,
16:55 Course n° 46 Open hommes K-1 500m finale 6,,,
Couloir,Club Équipage,Résultats,Temps
5,Cascades 2010 Julian Slavin,1,"2:36,18"
4,Lac-Sergent 2010 Zachary Verret,2,"2:50,79"
1,,,
2,,,
3,,,
6,,,
7,,,
8,,,
9,,,
