17:20 Course n° 137 Open hommes K-1 1000m Éliminatoire 4,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
1,Lachine 2010 Zacharia Mansour,,
2,Shawinigan 2010 Yanik Gravel,,
3,Lac-Beauport 2008 Leo Roy,,
4,Lac-Beauport 2001 Jerome Desrosiers-Mc Arthur,,
5,Trois-Rivières 2005 Jeremy Pelletier,,
6,Lac-Beauport 2007 Xavier Hebert,,
7,Pointe-Claire 2008 Marcelo De Andrade,,
8,Cascades 2009 Lukas Manning,,
9,,,
17:27 Course n° 138 Open hommes K-1 1000m Éliminatoire 5,,,
Couloir,Club Équipage,Résultats,Temps
1,Cascades 2010 Julian Slavin,,
2,Lachine 2007 Zakari Sauve,,
3,Otterburn 2007 Jacob Levesque,,
4,Pointe-Claire 2006 Emile Paquette,,
5,Pointe-Claire 2004 Vladimir Demishkevich,,
6,Lachine 2008 Laurent Rouleau,,
7,Lac-Beauport 2007 Zachary Tremblay,,
8,Pointe-Claire 2010 Benjamin Dube,,
9,,,
17:34 Course n° 139 Open hommes K-1 1000m Éliminatoire 6,,,
Couloir,Club Équipage,Résultats,Temps
1,Sherbrooke 2010 Eloic Theberge,,
2,Otterburn 2009 Alex Doyon,,
3,Lac-Beauport 2007 Julien Pomerleau,,
4,Cascades 2006 Leo Carmichael,,
5,Pointe-Claire 2005 Cedric Liu,,
6,Lac-Beauport 2009 Victor Girard,,
7,Sherbrooke 2008 Sebastian Sarateanu,,
8,Otterburn 2010 Billy Liu,,
9,,,
