9:02 Course n° 60 Open femmes K-1 200m Éliminatoire 4,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
1,Otterburn 2010 Gaelle Doucet,,
2,Cartierville 2008 Laura Desjardins,,
3,Lac-Beauport 2010 Maude Vittoz,,
4,Lachine 2006 Clara Blanchette,,
5,Lachine 2004 Calina Bidal,,
6,Lac-Beauport 2008 Margaux Loyer,,
7,Lac-Beauport 2007 Anne-Sophie Boucher,,
8,Pointe-Claire 2009 Sarah-Maude Barrette,,
9,,,
9:06 Course n° 61 Open femmes K-1 200m Éliminatoire 5,,,
Couloir,Club Équipage,Résultats,Temps
1,Lac-Beauport 2010 Clarence Dennie-Vaudreuil,,
2,Pointe-Claire 2008 Abigaelle Legrand,,
3,Sherbrooke 2009 Charlie Leclerc,,
4,Sherbrooke 2006 Anna-Mariya Izmaylova,,
5,Trois-Rivières 2006 Mathilde Patry,,
6,Sherbrooke 2007 Megan Champagne,,
7,Trois-Rivières 2007 Maika St-Yves,,
8,Trois-Rivières 2010 Camille Pelletier,,
9,,,
Open hommes C-1 200m,,,
