13:16 Course n° 96 Open femmes C-1 200m finale 2,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
13:20 Course n° 97 Open femmes C-1 200m finale 1,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
M-14 femmes K-1 200m,,,
13:24 Course n° 98 M-14 femmes K-1 200m finale 2,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
13:28 Course n° 99 M-14 femmes K-1 200m finale 1,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
