13:48 Course n° 104 Open femmes K-1 200m finale 1,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
M14 hommes C-1 200m,,,
13:52 Course n° 105 M14 hommes C-1 200m finale 1,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,Lachine 2012 Arnaud Forget,,
3,Lachine 2012 Henri Blanchet,,
4,Lac-Sergent 2011 Victor Cothet-Labranche,,
5,Pointe-Claire 2011 Edouard Pellerin,,
6,Trois-Rivières 2011 Yoan Domingue,,
7,Pointe-Claire 2011 Tristan Buday,,
8,,,
9,,,
Open hommes C-1 200m,,,
13:56 Course n° 106 Open hommes C-1 200m finale 3,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
14:00 Course n° 107 Open hommes C-1 200m finale 2,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
