14:04 Course n° 108 Open hommes C-1 200m finale 1,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
M14 hommes K-1 200m,,,
14:08 Course n° 109 M14 hommes K-1 200m finale 2,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
14:12 Course n° 110 M14 hommes K-1 200m finale 1,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
Open hommes K-1 200m,,,
14:16 Course n° 111 Open hommes K-1 200m finale 6,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
