11:58 Course n° 84 Open femmes C-1 200m Semi finale 1,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
5,Onake 2001 Konwanakeren Diabo,1,"48,67"
6,Lac-Beauport 2010 Maya Noel,2,"50,29"
4,Lac-Beauport 2007 Leia Stephenson,3,"51,92"
7,Lac-Beauport 2010 Emma-Rose Nadeau,4,"52,11"
3,Lac-Beauport 2010 Abigail Harrington,5,"53,20"
8,Pointe-Claire 2011 Olive Archambault,6,"53,40"
2,Trois-Rivières 2007 Maeva Emond,7,"54,96"
1,Cascades 2006 Florence Gauthier,8,"56,06"
9,Lac-Beauport 2008 Nora-Maelie Turcotte,9,"58,53"
12:02 Course n° 85 Open femmes C-1 200m Semi finale 2,,,
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2006 Charlotte C. Desy,1,"49,17"
4,Lac-Beauport 2004 Alexia Gagnon,2,"49,67"
6,Lac-Beauport 2011 Maelle Girard,3,"51,79"
3,Otterburn 2009 Julianne Pronovost,4,"52,78"
7,Lac-Beauport 2011 Olivia Desrosiers-Mc Arthur,5,"54,44"
8,Trois-Rivières 2007 Flavie Martin,6,"55,16"
1,Pointe-Claire 2010 Florence Stewart-Mueller,7,"55,39"
2,Otterburn 2008 Eloise Gamache,8,"56,28"
9,Otterburn 2009 Maelie Levesque,9,"59,61"
