12:22 Course n° 90 Open femmes K-1 200m Repêchage 1,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
5,Sherbrooke 2008 Marguerite Gareau,1,"51,56"
3,Pointe-Claire 2008 Abigaelle Legrand,2,"51,64"
8,Lac-Beauport 2010 Clarence Dennie-Vaudreuil,3,"52,55"
6,Lac-Sergent 2010 Melyna Cassista,4,"52,70"
7,Lac-Sergent 2010 Marilou Lessard,5,"54,68"
2,Otterburn 2010 Gaelle Doucet,6,"55,42"
4,Pointe-Claire 2008 Sophia Moise Dos Santos,7,"56,11"
1,,,
9,,,
12:26 Course n° 91 Open femmes K-1 200m Repêchage 2,,,
Couloir,Club Équipage,Résultats,Temps
4,Trois-Rivières 2010 Camille Pelletier,1,"51,47"
5,Lac-Beauport 2010 Maude Vittoz,2,"51,71"
6,Sherbrooke 2008 Payton Winsor,3,"52,05"
3,Cartierville 2008 Laura Desjardins,4,"53,04"
2,Lac-Beauport 2010 Lily Jobin,5,"53,58"
7,Otterburn 2010 Maelie Boulay,6,"53,66"
1,Lac-Beauport 2008 Marie-Odile Levesque,7,"57,58"
8,Pointe-Claire 2006 Kaiya Leah Schade,8,"57,88"
9,,,
Open hommes C-1 1000m,,,
13:30 Course n° 92 Open hommes C-1 1000m finale 3,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,Shawinigan 2010 Felix Vadnais,2,"5:19,53"
5,Shawinigan 2010 Zaic Gagnon,1,"5:07,36"
6,,,
7,,,
8,,,
9,,,
13:38 Course n° 93 Open hommes C-1 1000m finale 2,,,
Couloir,Club Équipage,Résultats,Temps
5,Otterburn 2008 Emile Raymond,1,"4:34,97"
4,Pointe-Claire 2008 Diego Padron Corbeil,2,"4:39,96"
6,Lac-Beauport 2009 Louis-Etienne Messier,3,"4:53,30"
1,Cascades 2010 Eli Thorp,4,"4:57,20"
3,Pointe-Claire 2011 Cedric Bourgeois,5,"4:58,27"
7,Pointe-Claire 2010 Samuel Jacobs,6,"5:00,00"
8,Pointe-Claire 2010 Theandre Legrand,7,"5:05,44"
2,Pointe-Claire 2008 Justin Nadeau,8,"5:06,21"
9,Otterburn 2011 Sasha Roux,9,"5:06,29"
