14:18 Course n° 98 Open hommes K-1 1000m finale 3,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
4,Pointe-Claire 2006 Emile Paquette,1,"3:54,00"
2,Trois-Rivières 2008 Bogdan Barba,2,"3:56,15"
6,Lac-Beauport 2008 Leo Roy,3,"3:56,91"
5,Lac-Beauport 2009 Jonathan Pigeon,4,"3:57,64"
3,Lac-Beauport 2009 Victor Girard,5,"3:57,90"
9,Lachine 2007 Zakari Sauve,6,"4:00,72"
8,Pointe-Claire 2008 Marcelo De Andrade,7,"4:01,02"
7,Lachine 2008 Remi Loisel,8,"4:01,50"
1,Trois-Rivières 2005 Antoine Duval,9,"4:01,99"
14:26 Course n° 99 Open hommes K-1 1000m finale 2,,,
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2007 Louis Enzo Roy,1,"3:49,32"
4,Lac-Beauport 2007 Xavier Hebert,2,"3:50,16"
6,Pointe-Claire 2004 Vladimir Demishkevich,3,"3:50,42"
7,Lachine 2008 Laurent Rouleau,4,"3:51,50"
8,Lac-Beauport 2007 Benjamin Gaudet,5,"3:51,90"
2,Lac-Beauport 2007 Julien Pomerleau,6,"3:52,56"
3,Otterburn 2006 Arthur Moreau,7,"3:54,73"
1,Otterburn 2007 Jacob Levesque,8,"3:59,53"
9,Trois-Rivières 2006 Felix Albert,9,"3:59,56"
14:34 Course n° 100 Open hommes K-1 1000m finale 1,,,
Couloir,Club Équipage,Résultats,Temps
5,Trois-Rivières 2004 Jeremy Lantz,1,"3:38,58"
6,Lac-Beauport 2004 Raphael Cote,2,"3:40,97"
4,Lac-Beauport 2003 Nathan Daoust,3,"3:41,66"
7,Lac-Beauport 2007 Thomas Sinotte,4,"3:46,23"
8,Cascades 2006 Leo Carmichael,5,"3:46,74"
2,Lac-Beauport 2007 Emrick Leclerc,6,"3:49,14"
9,Pointe-Claire 2005 Cedric Liu,7,"3:49,90"
1,Trois-Rivières 2005 Jeremy Pelletier,8,"3:53,58"
3,Lac-Beauport 2001 Jerome Desrosiers-Mc Arthur,9,"4:22,65"
M14 femmes C-1 1000m,,,
14:42 Course n° 101 M14 femmes C-1 1000m finale A,,,
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2012 Emma Lussier,1,"5:20,73"
6,Lachine 2011 Aryna Nakloka,2,"5:29,54"
7,Cascades 2011 Anika Zahab,3,"5:47,82"
4,Pointe-Claire 2011 Raphaelle Dupuis-Demers,4,"5:48,99"
3,Trois-Rivières 2012 Kelia Emond,5,"5:49,37"
2,Pointe-Claire 2012 Mia Forystek,6,"5:53,23"
8,Pointe-Claire 2012 Charlotte Keating,DNF,
1,,,
9,,,
