15:22 Course n° 106 M14 hommes K-1 1000m finale B,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
4,Lachine 2012 Jacob Klevinas,1,"4:45,69"
5,Pointe-Claire 2012 Zhile Xu,2,"4:49,32"
8,Trois-Rivières 2011 Vincent Brisson,3,"4:54,33"
3,Pointe-Claire 2012 Lyam Pothier,4,"5:07,39"
2,Pointe-Claire 2011 Kevin Sun,5,"5:08,20"
6,Cascades 2011 Aymeric Savignac,6,"5:15,13"
1,Pointe-Claire 2011 Angus Yim,7,"5:25,95"
7,Sherbrooke 2012 Joakim Claveau,DNF,
9,,,
Open femmes C-1 200m,,,
15:35 Course n° 107 Open femmes C-1 200m finale 3,,,
Couloir,Club Équipage,Résultats,Temps
4,Cascades 2010 Katsya Ranson,1,"1:03,26"
5,Otterburn 2009 Coralie Timmons,2,"1:04,13"
1,,,
2,,,
3,,,
6,,,
7,,,
8,,,
9,,,
15:40 Course n° 108 Open femmes C-1 200m finale 2,,,
Couloir,Club Équipage,Résultats,Temps
4,Pointe-Claire 2011 Olive Archambault,1,"52,27"
3,Trois-Rivières 2007 Maeva Emond,2,"53,37"
5,Lac-Beauport 2011 Olivia Desrosiers-Mc Arthur,3,"53,87"
6,Trois-Rivières 2007 Flavie Martin,4,"54,24"
7,Pointe-Claire 2010 Florence Stewart-Mueller,5,"54,77"
2,Cascades 2006 Florence Gauthier,6,"54,79"
8,Otterburn 2008 Eloise Gamache,7,"55,93"
1,Lac-Beauport 2008 Nora-Maelie Turcotte,8,"58,20"
9,Otterburn 2009 Maelie Levesque,9,"58,85"
15:45 Course n° 109 Open femmes C-1 200m finale 1,,,
Couloir,Club Équipage,Résultats,Temps
5,Onake 2001 Konwanakeren Diabo,1,"47,76"
4,Lac-Beauport 2006 Charlotte C. Desy,2,"48,69"
6,Lac-Beauport 2004 Alexia Gagnon,3,"48,91"
7,Lac-Beauport 2007 Leia Stephenson,4,"50,45"
3,Lac-Beauport 2010 Maya Noel,5,"50,54"
1,Otterburn 2009 Julianne Pronovost,6,"51,29"
8,Lac-Beauport 2010 Emma-Rose Nadeau,7,"51,45"
2,Lac-Beauport 2011 Maelle Girard,8,"51,82"
9,Lac-Beauport 2010 Abigail Harrington,9,"52,31"
