8:00 Course n° 52 Open hommes C-1 1000m Éliminatoire 1,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
5,Pointe-Claire 2004 Emile Bouvier,1,"4:20,43"
7,Lac-Beauport 2008 Christophe Desrochers,2,"4:54,61"
4,Otterburn 2007 Antoine Gamache,3,"4:58,71"
6,Otterburn 2008 Noa Piche,4,"4:58,74"
3,Pointe-Claire 2008 Diego Padron Corbeil,5,"5:05,18"
2,Pointe-Claire 2010 Samuel Jacobs,6,"5:06,63"
8,Pointe-Claire 2010 Theandre Legrand,7,"5:18,97"
1,,,
9,,,
8:08 Course n° 53 Open hommes C-1 1000m Éliminatoire 2,,,
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2000 Edouard Beaumier,1,"4:35,37"
8,Shawinigan 2010 Zaic Gagnon,2,"5:06,06"
4,Otterburn 2006 Ludovik Rioux,3,"5:08,78"
2,Cascades 2010 Eli Thorp,4,"5:08,84"
7,Shawinigan 2010 Felix Vadnais,5,"5:16,13"
6,Otterburn 1987 Maxime Compte,Retrait,
1,,,
3,,,
9,,,
8:16 Course n° 54 Open hommes C-1 1000m Éliminatoire 3,,,
Couloir,Club Équipage,Résultats,Temps
5,Pointe-Claire 2004 Elliot Arnautovitch,1,"4:27,28"
4,Otterburn 2005 Etienne Gamache,2,"4:46,60"
2,Lac-Beauport 2009 Louis-Etienne Messier,3,"4:56,86"
6,Lachine 2008 Adam Marcoux,4,"4:59,31"
8,Pointe-Claire 2011 Cedric Bourgeois,5,"5:03,13"
3,Otterburn 2008 Emile Raymond,6,"5:06,80"
7,Pointe-Claire 2008 Justin Nadeau,7,"5:11,49"
1,Otterburn 2011 Sasha Roux,8,"5:20,24"
9,,,
Open hommes K-1 1000m,,,
