M-14 femmes C-1 200m,col_1,col_2,col_3
11:34 Course n° 78 M-14 femmes C-1 200m finale A,,,
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2012 Emma Lussier,1,"54,06"
6,Lachine 2011 Aryna Nakloka,2,"56,47"
7,Trois-Rivières 2012 Kelia Emond,3,"1:00,60"
2,Cascades 2011 Anika Zahab,4,"1:03,28"
4,Pointe-Claire 2012 Mia Forystek,5,"1:05,54"
8,Pointe-Claire 2011 Raphaelle Dupuis-Demers,6,"1:07,90"
1,Pointe-Claire 2012 Charlotte Keating,7,"1:14,40"
3,Otterburn 2012 Adeline Dubuc,Retrait,
9,,,
M-14 femmes K-1 200m,,,
11:38 Course n° 79 M-14 femmes K-1 200m finale A,,,
Couloir,Club Équipage,Résultats,Temps
2,Lac-Sergent 2012 Geraldine Frenette,1,"52,92"
4,Sherbrooke 2012 Sophia Klukvine,2,"54,94"
7,Trois-Rivières 2011 Ophelie Lavoie,3,"55,42"
6,Cascades 2011 Emma Landon,4,"58,38"
3,Pointe-Claire 2011 Olivia Hopwood-Jones,5,"58,45"
5,Pointe-Claire 2012 Wenli Deng,6,"58,78"
8,Pointe-Claire 2012 Sasha Proulx,7,"1:00,68"
1,Onake 2012 Iotenhariio Lahache,Retrait,
9,,,
11:42 Course n° 80 M-14 femmes K-1 200m finale B,,,
Couloir,Club Équipage,Résultats,Temps
6,Lac-Sergent 2011 Leanne Richard,1,"51,96"
5,Lachine 2012 Lilia Martin,2,"53,96"
4,Trois-Rivières 2011 Billie Angel,3,"56,74"
7,Sherbrooke 2012 Sarah Ducharme,4,"1:00,47"
2,Cascades 2012 Mila Yelle,5,"1:04,06"
8,Pointe-Claire 2012 Ophelie Legrand,6,"1:05,87"
3,Onake 2012 Teieronhiathetha Bauersfeld,Retrait,
1,,,
9,,,
M-14 hommes C-1 200m,,,
11:46 Course n° 81 M-14 hommes C-1 200m finale A,,,
Couloir,Club Équipage,Résultats,Temps
5,Pointe-Claire 2011 Edouard Pellerin,1,"52,17"
4,Lac-Sergent 2011 Victor Cothet-Labranche,2,"59,02"
6,Trois-Rivières 2011 Yoan Domingue,3,"1:00,29"
7,Pointe-Claire 2011 Tristan Buday,4,"1:00,62"
3,Lachine 2012 Henri Blanchet,5,"1:01,84"
2,Lachine 2012 Arnaud Forget,6,"1:06,65"
1,,,
8,,,
9,,,
