M-14 femmes K-1 1000m,col_1,col_2,col_3
14:50 Course n° 102 M-14 femmes K-1 1000m finale A,,,
Couloir,Club Équipage,Résultats,Temps
4,Sherbrooke 2012 Sophia Klukvine,1,"5:13,57"
7,Trois-Rivières 2011 Ophelie Lavoie,2,"5:21,10"
5,Pointe-Claire 2012 Wenli Deng,3,"5:23,77"
6,Cascades 2011 Emma Landon,4,"5:28,31"
2,Pointe-Claire 2012 Sasha Proulx,5,"5:37,77"
3,Sherbrooke 2012 Sarah Ducharme,6,"5:41,40"
8,Pointe-Claire 2012 Ophelie Legrand,7,"5:53,53"
1,,,
9,,,
14:58 Course n° 103 M-14 femmes K-1 1000m finale B,,,
Couloir,Club Équipage,Résultats,Temps
6,Lac-Sergent 2011 Leanne Richard,1,"4:53,58"
5,Lachine 2012 Lilia Martin,2,"5:00,81"
2,Lac-Sergent 2012 Geraldine Frenette,3,"5:03,32"
4,Trois-Rivières 2011 Billie Angel,4,"5:29,37"
3,Pointe-Claire 2011 Olivia Hopwood-Jones,5,"5:34,86"
7,Cascades 2012 Mila Yelle,6,"5:42,69"
1,,,
8,,,
9,,,
M14 hommes C-1 1000m,,,
15:06 Course n° 104 M14 hommes C-1 1000m finale A,,,
Couloir,Club Équipage,Résultats,Temps
5,Pointe-Claire 2011 Edouard Pellerin,1,"5:11,71"
4,Lac-Sergent 2011 Victor Cothet-Labranche,2,"5:32,65"
7,Pointe-Claire 2011 Tristan Buday,3,"5:37,17"
6,Trois-Rivières 2011 Yoan Domingue,4,"5:44,50"
3,Lachine 2012 Henri Blanchet,5,"5:51,50"
2,Lachine 2012 Arnaud Forget,6,"6:01,46"
1,,,
8,,,
9,,,
M14 hommes K-1 1000m,,,
15:14 Course n° 105 M14 hommes K-1 1000m finale A,,,
Couloir,Club Équipage,Résultats,Temps
6,Sherbrooke 2012 Laurent Pomerleau,1,"4:32,25"
5,Lac-Beauport 2011 Xavier-Alexandre Dery,2,"4:34,28"
4,Trois-Rivières 2011 Edouard Dionne Guay,3,"4:36,95"
7,Trois-Rivières 2011 Edouard Patry,4,"4:54,23"
2,Trois-Rivières 2011 Pierre-Olivier Albert,5,"4:56,64"
1,Trois-Rivières 2012 Richard Dober,6,"4:58,26"
3,Lachine 2011 Leo Brabant,7,"4:58,87"
8,Pointe-Claire 2011 Samuel Farinas-Davis,DNF,
9,,,
