Hommes C-1 500m,col_1,col_2,col_3
16:00 Course n° 8 Samedi 24 mai Finale,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Pointe-Claire 1 Elliot Arnautovitch,1,"2:01,66"
4,Otterburn 2 Étienne Gamache,2,"2:06,32"
1,Otterburn 8 Noa Piché,3,"2:10,90"
3,Otterburn 4 Ludovik Rioux,4,"2:12,48"
2,Otterburn 6 Antoine Gamache,5,"2:13,08"
9,Lachine 9 Adam Marcoux,6,"2:14,41"
6,Otterburn 3 Philippe Richer-Simard,7,"2:14,63"
7,Lachine 5 Noam Brault,8,"2:17,34"
8,Lac-Beauport 7 Christophe Desrochers,9,"2:17,70"
Femmes C-1 500m,,,
16:10 Course n° 9 Samedi 24 mai Finale,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Lac-Beauport 1 Elizabeth Desrosiers-Mcarthur,1,"2:17,55"
4,Otterburn 2 Amélie Laliberté,2,"2:20,40"
3,Lac-Beauport 3 Alexia Gagnon,3,"2:21,67"
6,Lac-Beauport 4 Charlotte Désy,4,"2:21,95"
7,Otterburn 5 Léanne Castonguay,5,"2:23,44"
2,Lac-Beauport 6 Léia Stephenson,6,"2:24,44"
8,Lac-Beauport 10 Maya Noël,7,"2:29,19"
1,Trois-Rivières 7 Flavie Martin,8,"2:33,24"
9,Cascade 8 Florence Gauthier,9,"2:43,62"
Femmes K-1 500m,,,
16:20 Course n° 10 Samedi 24 mai Finale,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Lachine 1 Alina Tverie,1,"2:04,16"
4,Lachine 2 Florence Hamel,2,"2:06,08"
3,Lac-Beauport 3 Marie Chamberland,3,"2:07,32"
6,Trois-Rivières 4 Mathilde Patry,4,"2:08,77"
7,Lachine 5 Calina Bidal,5,"2:10,56"
2,Trois-Rivières 8 Anaïs Lapointe,6,"2:11,52"
8,Lachine 7 Ariane Loisel,7,"2:12,54"
1,Sherbrooke 9 Victoria Lavallée-Latour,8,"2:17,64"
9,Lac-Beauport 13 Margaux Loyer,9,"2:20,76"
Hommes K-1 500m,,,
16:30 Course n° 11 Samedi 24 mai Finale,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Lac-Beauport 1 Raphaël Côté,1,"1:49,11"
4,Lac-Beauport 2 Thomas Sinotte,2,"1:50,83"
6,Pointe-Claire 3 Cedric Liu,3,"1:51,54"
8,Trois-Rivières 5 Jérémy Pelletier,4,"1:52,33"
2,Lac-Beauport 10 Hemrick Leclerc,5,"1:52,87"
7,Pointe-Claire 8 Émile Paquette,6,"1:53,98"
3,Cascade 7 Leo Carmichael,7,"1:54,87"
1,Trois-Rivières 15 Olivier Tremblay,8,"1:54,89"
9,Trois-Rivières 6 Thomas Lessard,9,"1:56,50"
