9:12 AM - Race #13 - Heat 1 - Advancement/Progression: 1/4 to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Conrad HOOGERBOORD,Senobe,4:06.400,0:00.000
2,3,Lucas MACLEAN,Senobe,4:07.274,0:00.874
3,1,Victor GIRARD,Lac-Beauport,4:08.567,0:02.167
4,8,Jacob LÉVESQUE,Otterburn,4:08.722,0:02.322
5,4,Christos GIANNOU,Maskwa,4:12.274,0:05.874
6,9,Corbin COLVILLE,Cheema,4:16.705,0:10.305
7,6,Zakari SAUVÉ,Lac-Beauport,4:30.320,0:23.920
8,7,Gavin GARNETT,Mic Mac,4:42.866,0:36.466
9,2,Breas ROSS,Toba,4:49.785,0:43.385
