3:49 PM - Race #68 - C-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Jonah QUESNEL,Balmy Beach,3:55.551,0:00.000
2,2,Xavier HEBERT,Lac-Beauport,3:58.143,0:02.592
3,8,Riley TAYLOR,Rideau,3:58.626,0:03.075
4,3,Lucas MANN,Calgary,3:59.695,0:04.144
5,4,Neil RISSESCO,Senobe,4:01.477,0:05.926
6,1,George FARNSWORTH,Rideau,4:02.540,0:06.989
7,5,Laurent ROULEAU,Lachine,4:07.270,0:11.719
8,9,Victor GIRARD,Lac-Beauport,4:07.706,0:12.155
9,7,Aiden KINNAIRD,Burloak,4:10.241,0:14.690
