10:35 AM - Race #26 - Heat 3 - Advancement/Progression: 1/2 + next 3 BT to Final; 3/5 + next 3 BT to B Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Victoria TRAN,Maskwa,0:50.297,0:00.000
2,4,Julia PRICE,Rideau,0:50.992,0:00.695
3,6,Megan THOMPSON,Cheema,0:51.567,0:01.270
4,3,Megan MCFETERS,Cheema,0:51.894,0:01.597
5,8,Julianne PRONOVOST,Otterburn,0:52.337,0:02.040
6,2,Alexandra SANGSTER,Maskwa,0:53.665,0:03.368
7,7,Kiira SAARENOJA,Calgary,0:53.963,0:03.666
8,1,Éloise GAMACHE,Otterburn,0:58.940,0:08.643
9,9,Nora-Maelie TURCOTTE,Lac-Beauport,1:01.400,0:11.103
