1:30 PM - Race #47 - Semi 3 - Advancement/Progression: 1/2 + next BT to Final A; 3x3rd + 4x4th + 2x5th BT to Final B; 2x5th + 4x6th + 3 next BT to Final C; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Owen MACLEAN,Balmy Beach,3:52.969,0:00.000
2,8,Harry BROWN,Cheema,3:57.285,0:04.316
3,4,Emrick LECLERC,Lac-Beauport,3:59.187,0:06.218
4,3,Oscar GRAVES,North Bay,4:00.601,0:07.632
5,6,Jonah QUESNEL,Balmy Beach,4:03.469,0:10.500
6,2,Xavier HEBERT,Lac-Beauport,4:04.406,0:11.437
7,1,Gavin BURKE,Rideau,4:08.003,0:15.034
8,7,Rylan CARRIGAN,Pisiquid,4:09.342,0:16.373
9,9,Charlie ROGERS,Balmy Beach,4:26.509,0:33.540
