2:00 PM - Race #51 - Semi 2 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Abbie HAINES,Carleton Place,0:49.131,0:00.000
2,4,Elle MACKENZIE,Cheema,0:50.096,0:00.965
3,6,Grace THEUNISSEN,Banook,0:50.470,0:01.339
4,7,Megan MCFETERS,Cheema,0:50.613,0:01.482
5,2,Emma MARSHALL,Balmy Beach,0:51.050,0:01.919
6,3,Megan THOMPSON,Cheema,0:51.418,0:02.287
7,8,Maëlle GIRARD,Lac-Beauport,0:53.671,0:04.540
8,9,Winter DENT,Maskwa,0:55.435,0:06.304
9,1,Flavie MARTIN,Trois Rivieres,0:55.642,0:06.511
