2:12 PM - Race #136 - Semi 3 - Advancement/Progression: 1/3 to Final A; 4/6 to Final B; 7/9 to Final C; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Wesley BARTLETT,Rideau,2:00.372,0:00.000
2,6,Nolen MITCHELL,Banook,2:02.131,0:01.759
3,5,Michael ZINCK,Senobe,2:02.654,0:02.282
4,3,Emmett PATTERSON,Wascana,2:03.401,0:03.029
5,7,Spencer MCLEOD,Mississauga,2:04.051,0:03.679
6,8,Nate NEULS,Kamloops,2:07.286,0:06.914
7,1,Maxim GORELOV,Rideau,2:09.108,0:08.736
8,9,Gabriel ARGANTE,Maskwa,2:12.826,0:12.454
9,2,Adam MARCOUX,Lachine,2:20.878,0:20.506
