2:28 PM - Race #140 - Semi 1 - Advancement/Progression: 1/2 + next BT to Final A; 3x3rd + 4x4th + 2x5th BT to Final B; 2x5th,col_1,col_2,col_3,col_4,col_5
+ 4x6th + 3 next BT to Final C; Rest Out,,,,,
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Conrad HOOGERBOORD,Senobe,1:46.385,0:00.000
2,8,Lukas GOAS,False Creek,1:46.874,0:00.489
3,6,Dyllan REDWOOD-WHEELER,Carleton Place,1:47.557,0:01.172
4,4,Aiden KINNAIRD,Burloak,1:48.557,0:02.172
5,3,Douglas HUNTER,Kamloops,1:48.747,0:02.362
6,2,Ty COLLVER,Mississauga,1:49.069,0:02.684
7,7,Harry BROWN,Cheema,1:49.977,0:03.592
8,1,Ben WALKER,Maskwa,1:54.828,0:08.443
9,9,Neil RISSESCO,Senobe,1:59.770,0:13.385
