12:16 PM - Race #121 - Heat 3 - Advancement/Progression: 1/2 + next 3 BT to Final; 3/5 + next 3 BT to B Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Madeleine BEAUREGARD,Rideau,2:10.620,0:00.000
2,3,Alexandra SANGSTER,Maskwa,2:14.115,0:03.495
3,7,Katie COOPER,Cheema,2:15.844,0:05.224
4,5,Emmerson EISENER,Cheema,2:16.425,0:05.805
5,6,Marcy MEISNER,Cheema,2:17.149,0:06.529
6,9,Maya NOËL,Lac-Beauport,2:21.580,0:10.960
7,8,Maëlle GIRARD,Lac-Beauport,2:26.103,0:15.483
8,1,Emma-Rose NADEAU,Lac-Beauport,2:27.465,0:16.845
9,2,Francesca ANDREWS,Cheema,2:32.661,0:22.041
