12:48 PM - Race #129 - Heat 4 - Advancement/Progression: 1/6 to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Cassie KENNY,Burloak,2:05.541,0:00.000
2,4,Gaelle BOUSQUET,Maskwa,2:07.408,0:01.867
3,6,Matilda BOWERS,Cheema,2:09.064,0:03.523
4,3,Marin MACNEIL,Mic Mac,2:09.960,0:04.419
5,7,Lyla BOYCHUK,Banook,2:12.535,0:06.994
6,2,Charlie LECLERC,Sherbrooke,2:15.201,0:09.660
7,1,Alison NGUYEN,Rideau,2:15.236,0:09.695
8,8,Mia ZAHAB,Cascades,2:18.035,0:12.494
9,9,Payton WINSOR,Sherbrooke,2:28.535,0:22.994
