4:31 PM - Race #160 - B-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,3,Cameron HALL,Cheema,2:00.467,0:00.000
2,5,Liam MACDONALD,Senobe,2:00.567,0:00.100
3,7,Noah AL HASHEMI,Mississauga,2:02.422,0:01.955
4,6,Adam SCHLOSSER,Rideau,2:02.695,0:02.228
5,9,Nate NEULS,Kamloops,2:03.256,0:02.789
6,1,Baer ROBERTSON,Wascana,2:03.739,0:03.272
7,8,Spencer MCLEOD,Mississauga,2:04.639,0:04.172
8,4,Emmett PATTERSON,Wascana,2:04.806,0:04.339
9,2,Aleksander SEREMAK,Toba,2:10.461,0:09.994
