8:50 AM - Race #192 - C-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Victor GIRARD, Jonathan PIGEON",Lac-Beauport,1:44.770,0:00.000
2,5,"Alex DOYON, Jacob LÉVESQUE",Otterburn,1:46.792,0:02.022
3,7,"Gavin BURKE, Dax MORRIS",Rideau,1:47.675,0:02.905
4,1,"Marcelo DE ANDRADE, Bo LOWERY",Pointe-Claire,1:50.514,0:05.744
5,4,"Christos GIANNOU, luke MACKENZIE",Maskwa,1:51.259,0:06.489
6,8,"Mason LOWRY, Charlie ROGERS",Carleton Place,1:51.603,0:06.833
7,3,"Jonathan HUNTINGTON, Ben ROBICHAUD",Senobe,1:52.820,0:08.050
8,9,"Ethan OLSON-MESA, Breas ROSS",Toba,1:56.381,0:11.611
9,2,"Gavin GARNETT, Alex SHERIDAN",Balmy Beach,1:57.881,0:13.111
