2:20 PM - Race #212 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,1,Elizabeth FANOK,Burloak,26:46.165,0:00.000
2,6,Katie GAUDET,Banook,28:04.370,1:18.205
3,26,Senika VELISEK,False Creek,28:52.154,2:05.989
4,25,Abbie BEGBIE,Ottawa,29:11.093,2:24.928
5,4,Lilliana SATO,Richmond Hill,29:16.393,2:30.228
6,24,Matilda BOWERS,Cheema,29:17.965,2:31.800
7,7,Zoe HATFIELD,Ottawa,29:25.531,2:39.366
8,13,Rachel JOU,Richmond Hill,29:37.165,2:51.000
9,5,Marin MACNEIL,Mic Mac,29:50.381,3:04.216
10,17,Justine TREMBLAY,Lac-Beauport,30:12.326,3:26.161
11,8,Catherine NORMAN,Mic Mac,30:37.798,3:51.633
12,27,Josie PATCHELL,Carleton Place,30:44.115,3:57.950
13,23,Malya GAGNON,Rideau,30:49.370,4:03.205
14,19,Ellena KOZUSKANICH,Mic Mac,30:52.637,4:06.472
15,18,Honour MCQUAY,Sydenham,30:57.798,4:11.633
16,21,Payton CLUETT,Mic Mac,31:32.215,4:46.050
17,14,Maude VITTOZ,Lac-Beauport,31:41.620,4:55.455
18,11,Noémie PERREAULT,Sherbrooke,31:56.548,5:10.383
19,10,Charlie LECLERC,Sherbrooke,32:07.470,5:21.305
20,15,Abby NDEGWA,Calgary,32:23.748,5:37.583
21,28,Alison NGUYEN,Rideau,32:39.765,5:53.600
22,9,Abigail PIPPARD,Calgary,33:43.548,6:57.383
DNF,3,Megan CHAMPAGNE,Sherbrooke,0:00.000,0:00.000
DNF,12,Amalia JORDAN,Calgary,0:00.000,0:00.000
DNF,2,Beatrice OGER,Rideau,0:00.000,0:00.000
