8:55 AM - Race #193 - B-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Xavier HEBERT, Louis Enzo ROY",Lac-Beauport,1:41.359,0:00.000
2,4,"Benjamin GAUDET, Julien POMERLEAU",Lac-Beauport,1:42.582,0:01.223
3,8,"Max IVANOV, Reuben LOZADA",Richmond Hill,1:44.471,0:03.112
4,3,"Nicholas LAPIERRE, Leif MITCHELL",Banook,1:45.548,0:04.189
5,6,"Xavier BIRD, Lucas MANN",Calgary,1:46.104,0:04.745
6,7,"Cody BARBRICK, Corbin COLVILLE",Cheema,1:46.571,0:05.212
7,9,"Benjamin PELLETIER, Laurent ROULEAU",Lachine,1:46.737,0:05.378
8,2,"william TOWNSEND, Ben WALKER",Maskwa,1:47.004,0:05.645
9,1,"Damian HICKEY, Harris HUNTER",Kamloops,1:49.076,0:07.717
