9:10 AM - Race #114 - Heat 1 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Anna ARCHIBALD,Banook,4:21.227,0:00.000
2,5,Marie CHAMBERLAND,Lac-Beauport,4:25.254,0:04.027
3,7,Norah LEGGE,Banook,4:27.643,0:06.416
4,9,Sarah LEGER,Senobe,4:30.621,0:09.394
5,8,Megan CHAMPAGNE,Sherbrooke,4:37.877,0:16.650
6,6,Megan STRACHAN,Rideau,4:42.888,0:21.661
7,3,Eva JANCKER,Fort,4:42.966,0:21.739
8,1,Natalie MCQUAY,Mississauga,4:43.438,0:22.211
