8:30 AM - Race #171 - Heat 1 - Advancement/Progression: First 3 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Lyla BOYCHUK, Elizabeth FANOK, Katie GAUDET, Cadence
WHYNACHT",Banook,1:53.759,0:00.000
2,2,"Anika DU PLOOY, Grace HILTON, Sofia MARTELI, Cambden
PRATT",Maskwa,1:55.298,0:01.539
3,4,"Hayley BOSOVICH, Isabella NIKITOVIC, Axeleena
ROBERTSON, Eve WILSON",Wascana,1:57.109,0:03.350
4,3,"Juniper CODE, Alison NGUYEN, Beatrice OGER, Ella
SEMENIUK",Rideau,1:57.142,0:03.383
5,9,"Anna DONAHUE, Claire GOMEZ, Charlie HAZEL, Ayla
MARTELL",Maskwa,2:00.370,0:06.611
6,1,"Payton BRUCE, Julia CAMPBELL, Cohen COMEAU, Violet
DADDARIO",Senobe,2:02.714,0:08.955
7,6,"Mélyna CASSISTA, Eloise HEBERT, Maëlle LECLERC,
Léanne RICHARD",Lac-Sergent,2:05.892,0:12.133
8,7,"Charlotte CHEN, Amber Rose CUI, Rachel PAN, Addison
YUAN",Richmond Hill,2:14.598,0:20.839
9,8,"Ingrid BROTEN, Zoey GRIFFITH, Charlotte LAPLANTE,
Abbey ZIMMER",Saskatoon,2:24.659,0:30.900
