12:27 PM - Race #55 - Heat 2 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Lukas GOAS,False Creek,4:04.974,0:00.000
2,4,Reuben LOZADA,Mississauga,4:09.846,0:04.872
3,7,Alex SHERIDAN,Balmy Beach,4:17.963,0:12.989
4,8,William TOWNSEND,Maskwa,4:18.774,0:13.800
5,3,Christos GIANNOU,Maskwa,4:19.613,0:14.639
6,2,Samuel EDGERTON,Kamloops,4:28.452,0:23.478
7,6,Blake PREUSS,Ottawa,4:34.996,0:30.022
8,1,Hugo DUMONT,Rideau,4:40.790,0:35.816
9,9,Breas ROSS,Toba,4:57.652,0:52.678
