4:30 PM - Race #90 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Toshka BESHARAH,Rideau,1:59.606,0:00.000
2,5,Julia DEMCHUK,Calgary,2:01.661,0:02.055
3,6,Kristiane FREE,Calgary,2:02.467,0:02.861
4,8,Brianna SMITH,Maskwa,2:05.306,0:05.700
5,7,Florence HAMEL,Lachine,2:07.128,0:07.522
6,2,Jonnie NEWMAN,Calgary,2:08.989,0:09.383
7,3,Emily BEST,Rideau,2:11.139,0:11.533
8,1,Chantal IP,Toba,2:11.444,0:11.838
9,9,Mathilde PATRY,Trois Rivieres,2:11.444,0:11.838
