2026-05-23 14:06:12,025 | main | INFO | Processing: Jeux Canada J2 2025.pdf
2026-05-23 14:06:13,363 | main | DEBUG | Extracted 4 pages, 5 tables
2026-05-23 14:06:13,413 | main | INFO | Successfully processed Jeux Canada J2 2025.pdf -> output\Jeux Canada J2 2025.json (confidence: 0.68)
2026-05-23 14:06:13,416 | main | INFO | Processing: Jeux Canada J1 2025.pdf
2026-05-23 14:06:14,086 | main | DEBUG | Extracted 3 pages, 4 tables
2026-05-23 14:06:14,119 | main | INFO | Successfully processed Jeux Canada J1 2025.pdf -> output\Jeux Canada J1 2025.json (confidence: 0.76)
2026-05-23 14:06:14,129 | main | INFO | Processing: Ess prov J3 2025.pdf
2026-05-23 14:06:17,072 | main | DEBUG | Extracted 15 pages, 20 tables
2026-05-23 14:06:17,263 | main | INFO | Successfully processed Ess prov J3 2025.pdf -> output\Ess prov J3 2025.json (confidence: 0.00)
2026-05-23 14:06:17,267 | main | INFO | Processing: Ess prov J2 2025.pdf
2026-05-23 14:06:19,481 | main | DEBUG | Extracted 22 pages, 35 tables
2026-05-23 14:06:19,545 | main | INFO | Successfully processed Ess prov J2 2025.pdf -> output\Ess prov J2 2025.json (confidence: 0.00)
2026-05-23 14:06:19,548 | main | INFO | Processing: Ess prov J1 2025.pdf
2026-05-23 14:06:21,043 | main | DEBUG | Extracted 12 pages, 16 tables
2026-05-23 14:06:21,077 | main | INFO | Successfully processed Ess prov J1 2025.pdf -> output\Ess prov J1 2025.json (confidence: 0.00)
