8:30 AM - Race #188 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Andrew BILLARD, Alix PLOMTEUX",Maskwa,1:43.288,0:00.000
2,4,"Connor FITZPATRICK, Zachary KRALIK",Mississauga,1:43.488,0:00.200
3,6,"Edgar C DÉSY, Viktor HARDY",Lac-Beauport,1:47.227,0:03.939
4,2,"Bret HIMMELMAN, Tyler LAIDLAW",Maskwa,1:47.410,0:04.122
5,3,"Elliot ARNAUTOVITCH, Émile BOUVIER",Pointe-Claire,1:47.693,0:04.405
6,9,"Alexander SMITH, Jeffrey SUN",Fort,1:51.593,0:08.305
7,7,"Eric CHOUINARD, Alexander MACNEIL",Mic Mac,1:55.443,0:12.155
8,1,"Isaac FINKELSTEIN, Cole NORMAN",Rideau,2:00.866,0:17.578
9,8,"Étienne GAMACHE, Ludovik RIOUX",Otterburn,2:09.005,0:25.717
