8:15 AM - Race #222 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,7,"Léanne CASTONGUAY, Éloise GAMACHE, Amelie
LALIBERTE, Julianne PRONOVOST",Otterburn,2:22.302,0:00.000
2,3,"Abby CHARLESWORTH, Eliza GROB, Eva JANCKER,
Veronica SO",Fort,2:24.163,0:01.861
3,5,"Esme BONING, Mischa GROVER, Stephanie JUAREZ-
BEAULIEU, Hannah WINTONIW",Toba,2:24.930,0:02.628
4,1,"Rhiannon ALTMEYER, Ekko BLIX, Meera KALAR, Lauren
RENTZ",Calgary,2:36.519,0:14.217
5,4,"Emma MARSHALL, Hayley PLANTE, Natalie SMITH,
Courtney STOTT",Balmy Beach,2:36.669,0:14.367
6,6,"Elayna DOUCET, Caleigh GOUDEY, Hailey ROWE, Jessica
WOOD",Maskwa,2:43.869,0:21.567
7,8,"Olivia GIRARD, Ginger HARNETT, Sofia MSTOEV, Emilie
NAKAMURA",Calgary,2:47.236,0:24.934
8,9,"Mia FORYSTEK, Abigaelle LEGRAND, Sophia MOISE DOS
SANTOS, Kaiya Leah SCHADE",Pointe-Claire,2:48.002,0:25.700
9,2,"Adeline DUBUC, Maelie LEVESQUE, Zulima NAVA-QUINTIN,
Coralie TIMMONS",Otterburn,2:53.313,0:31.011
