9:23 AM - Race #98 - Heat 3 - Advancement/Progression: 1/3 + next 3 BT to Final; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Alix PLOMTEUX,Lac-Beauport,1:53.863,0:00.000
2,4,Zachary KRALIK,Mississauga,1:56.788,0:02.925
3,6,Duncan GILES,Senobe,1:58.323,0:04.460
4,2,Edgar C DÉSY,Lac-Beauport,1:58.869,0:05.006
5,7,Édouard BEAUMIER,Lac-Beauport,1:59.478,0:05.615
6,8,Jeffrey SUN,Fort,2:00.317,0:06.454
7,3,Eric CHOUINARD,Mic Mac,2:02.599,0:08.736
8,1,Alexander SMITH,Fort,2:06.041,0:12.178
